,Day,Date,Holiday Name,Type,Comments
147,Saturday,Sep 11,Nuakhai,Regional Holiday,Odisha only. Day after Ganesh Chaturthi
148,Sunday,Sep 12,Public Holiday,Government Holiday,Haryana
149,Thursday,Sep 16,Ramdev Jayanti and Teja Dashmi,Regional Holiday,Rajasthan only
150,Monday,Sep 20,Indra Jatra,Regional Holiday,Sikkim
151,Tuesday,Sep 21,Sree Narayana Guru Samadhi,Regional Holiday,Kerala
152,Thursday,Sep 23,Haryana Heroes' Martyrdom Day,Regional Holiday,Haryana
153,Tuesday,Sep 28,Chehlum,Regional Holiday,Safar 20
154,Saturday,Oct 02,Mahatma Gandhi Birthday,Public Holiday,
155,Tuesday,Oct 05,Birthday of Nar Bahadur Bhandari,Regional Holiday,Sikkim
156,Wednesday,Oct 06,Mahalaya,Regional Holiday,Several states
157,Wednesday,Oct 06,Bathukamma Starting Day,Regional Holiday,Nine days before Durgatsami
158,Thursday,Oct 07,Maharaja Agrasen Jayanti,Regional Holiday,"Haryana, Punjab, Rajasthan only"
159,Thursday,Oct 07,Mera Chaoren Houba,Regional Holiday,Manipur
160,Tuesday,Oct 12,Maha Saptami,Regional Holiday,Several states
161,Wednesday,Oct 13,Durga Ashtami,Regional Holiday,Several states
162,Wednesday,Oct 13,Durgashtami,Government Holiday,Several states
163,Thursday,Oct 14,Navami of Durga Puja,Regional Holiday,Some states
164,Thursday,Oct 14,Mahanavami,Regional Holiday,Ninth day of Dussehra
165,Thursday,Oct 14,Ayudha Puja,Regional Holiday,Several states
166,Friday,Oct 15,Durga Puja,Regional Holiday,
167,Friday,Oct 15,Dussehra,Regional Holiday,Vijaya Dashami
168,Friday,Oct 15,Janmostav of Srimatna Sankardev,Regional Holiday,Assam only
169,Saturday,Oct 16,Following day of Vijaya Dasami Holiday,Regional Holiday,
170,Monday,Oct 18,Kati Bihu,Regional Holiday,Assam
171,Tuesday,Oct 19,Mawlid,Regional Holiday,Birthday of Prophet Muhammad
172,Wednesday,Oct 20,Lakshmi Puja,Regional Holiday,Tripura
173,Wednesday,Oct 20,Lakshmi Puja,Regional Holiday,"Odisha, West Bengal"
174,Wednesday,Oct 20,Maharishi Valmiki Birthday,Regional Holiday,Several states
175,Wednesday,Oct 20,Maulud Nabi,Government Holiday,Birthday of Prophet Muhammad
176,Wednesday,Oct 20,Maulud Nabi,Regional Holiday,Birthday of Prophet Muhammad
177,Friday,Oct 22,Friday after Eid e-Milad-un Nabi,Regional Holiday,Jammu and Kashmir
